host_name,cluster_id,public_dns,Node_id,isntance_id,start_date,host_private_ip,private_ip
adb-1515192762105108.8.azuredatabricks.net,1009-165658-sunup294,20.186.9.213,0fb938e648bc45df994ccf84223e132b,cfcd7c5c6a7245fe9a912d6da6bcbad4,09-Oct-20 17:00:27,192.168.21.10,192.168.20.10
adb-1515192762105108.8.azuredatabricks.net,1009-165658-sunup294,52.242.73.217,c26a8aac882b49019d0966b1c5244a24,715702530ae5454e9741e80cdb2f0825,09-Oct-20 17:00:26,192.168.21.12,192.168.20.12
